latitud 	longitud	ondulacion
-0.068959	-78.431919	27.273
-0.058169	-78.436034	27.251
-0.036083	-78.443971	27.083
0.016778	-78.421749	27.074
-0.017636	-78.433734	27.064
-0.018634	-78.420267	27.003
-0.044091	-78.430334	27.155
-0.048934	-78.421782	27.13
-0.080147	-78.540956	27.737
-0.076824	-78.536958	27.719
-0.095979	-78.528556	27.756
-0.126877	-78.513859	27.682
-0.168647	-78.512047	27.781
-0.167129	-78.502905	27.705
-0.157631	-78.517038	27.85
-0.129349	-78.528124	27.842
-0.12637	-78.522601	27.769
-0.111716	-78.535669	27.835
-0.105912	-78.531693	27.753
-0.10833	-78.537767	27.849
-0.091142	-78.543567	27.822
-0.089289	-78.537814	27.802
-0.235213	-78.453678	27.336
-0.220795	-78.456518	27.286
-0.222483	-78.45238	27.27
-0.198345	-78.44489	27.133
-0.201558	-78.440533	27.139
-0.170957	-78.429888	27.167
-0.173236	-78.425002	27.139
-0.227451	-78.474096	27.374
-0.210116	-78.463775	27.313
-0.214117	-78.457327	27.288
-0.184998	-78.452651	27.29
-0.189999	-78.44324	27.233
-0.16561	-78.439809	27.245
-0.16896	-78.434169	27.214
0.003248	-78.465501	27.406
-0.031202	-78.463581	27.271
-0.001733	-78.456215	27.168
-0.001393	-78.447751	27.135
-0.036738	-78.454503	27.183
-0.056541	-78.451014	27.145
-0.056556	-78.443695	27.096
-0.011003	-78.44115	27.269
-0.010103	-78.432558	27.114
-0.035551	-78.442059	27.057
-0.034976	-78.434534	27.159
-0.003552	-78.42401	27.048
-0.034374	-78.430741	27.152
-0.035894	-78.423256	27.105
0.026169	-78.437617	27.113
0.024147	-78.482256	27.242
0.014793	-78.481093	27.268
0.003588	-78.439329	27.084
-0.006514	-78.437421	27.071
0.002997	-78.484717	27.3
-0.004838	-78.48341	27.303
-0.11802	-78.525946	27.831
-0.147134	-78.521548	27.864
-0.117249	-78.52831	27.413
-0.134775	-78.523431	27.867
-0.154417	-78.515284	27.883
-0.079384	-78.441348	27.281
-0.099466	-78.430423	27.204
-0.097448	-78.426025	27.224
-0.122116	-78.422684	27.256
-0.118685	-78.415684	27.117
-0.095886	-78.421264	27.171
-0.077691	-78.428711	27.263
-0.177828	-78.507716	27.773
-0.169974	-78.502353	27.682
-0.304204	-78.495464	27.383
-0.325805	-78.453028	27.236
-0.35759	-78.46572	27.328
-0.313397	-78.472271	27.217
-0.249033	-78.521883	27.543
